1/01;Día de Año Nuevo
1/01;Día Internacional del Hijo
1/01;Día del Dominio Público
2/01;Día Internacional del Policía
4/01;Día Mundial del Braille
4/01;Día Mundial de la Hipnosis
6/01;Día de Reyes
6/01;Día Mundial de los Huérfanos de la Guerra
7/01;Día del Sello Postal
11/01;Día Internacional del Agradecimiento
13/01;Día Mundial de Lucha contra la Depresión
14/01;Día Mundial de la Lógica
14/01;Día Internacional de la Cometa
15/01;Día Mundial de la Nieve
15/01;Día Mundial de la Religión
16/01;Día Internacional de la Croqueta
16/01;Día Internacional de The Beatles
16/01;Blue Monday (Día más triste del año)
16/01;Día de Martin Luther King
18/01;Día Internacional del Síndrome de la Hemiplejia Alternante
20/01;Día de Concienciación por los Pingüinos
21/01;Día Internacional del Abrazo
21/01;Día Mundial de la Ardilla
21/01;Día Internacional del Mariachi
21/01;Día Europeo de la Meditación
21/01;Día Europeo de la Mediación
22/01;Año Nuevo Chino
23/01;Día Mundial de la Libertad
23/01;Día Internacional del Comunity Manager
24/01;Día Internacional de la Educación
24/01;Día Mundial de la Cultura Africana y Afrodescendiente
24/01;Día Mundial del Síndrome de Moebius
25/01;Día Internacional de la Mujer en el Multilateralismo
26/01;Día Mundial de la Educación Ambiental
26/01;Día Internacional de la Aduana
26/01;Día Mundial del Pescador
26/01;Día Mundial de la Enfermedad de Kawasaki
27/01;Día Internacional de Conmemoración de las Víctimas del Holocausto
27/01;Día Internacional del Conservador Restaurador
28/01;Día Mundial de la Acción frente al Calentamiento Terrestre
28/01;Día Europeo de la Protección de Datos
29/01;Día Mundial contra la Lepra
30/01;Día Escolar de la No Violencia y la Paz
30/01;Día Mundial de la Enfermedades Tropicales Desatendidas (ETD)
30/01;Día Internacional del Croissant
30/01;Día Internacional del Técnico Electrónico
31/01;Día Internacional del Mago
31/01;Día Internacional de la Cebra
1/02;Día Mundial del Galgo
2/02;Día Mundial de los Humedales
2/02;Día Mundial de las Elecciones
2/02;Día de la Marmota
3/02;Día Internacional del Abogado
4/02;Día Mundial contra el Cáncer
4/02;Día Internacional de la Fraternidad Humana
6/02;Día Mundial de Tolerancia Cero a la Mutilación Genital Femenina
6/02;Día de Bob Marley
7/02;Día Internacional de Internet Seguro (Safer Internet Day)
9/02;Día Mundial de la Pizza
9/02;Día Internacional de la Lengua Griega
10/02;Día Mundial de las Legumbres
11/02;Día Internacional de la Mujer y la Niña en la Ciencia
11/02;Día Mundial del Cine
11/02;Día Mundial de la Mujer Médica
11/02;Jornada Mundial del Enfermo
11/02;Día de los Servicios de Emergencia 112 o Día del 112
12/02;Día Internacional para la Prevención del Extremismo Violento cuando Conduzca al Terrorismo
12/02;Día Mundial contra el Uso de Niños Soldado
12/02;Día de Darwin
13/02;Día Mundial de la Radio
13/02;Día Mundial del Soltero
13/02;Día Internacional de la Epilepsia
14/02;Día de los Enamorados o Día de San Valentín
14/02;Día de Mundial de las Cardiopatías Congénitas
